V1	V2	V3
CAGL0A00105g	ORF|Uncharacterized	NULL
CAGL0A00110g	pseudogene	NULL
CAGL0A00116g	ORF|Uncharacterized	NULL
CAGL0A00132g	ORF|Uncharacterized	NULL
CAGL0A00154g	ORF|Uncharacterized	NULL
CAGL0A00165g	ORF|Uncharacterized	NULL
CAGL0A00187g	ORF|Uncharacterized	NULL
CAGL0A00209g	ORF|Uncharacterized	NULL
CAGL0A00231g	ORF|Uncharacterized	NULL
CAGL0A00253g	ORF|Uncharacterized	NULL
CAGL0A00275g	ORF|Uncharacterized	NULL
CAGL0A00297g	ORF|Uncharacterized	NULL
CAGL0A00319g	ORF|Uncharacterized	NULL
CAGL0A00341g	ORF|Uncharacterized	NULL
CAGL0A00363g	ORF|Uncharacterized	NULL
CAGL0A00385g	ORF|Uncharacterized	NULL
CAGL0A00407g	ORF|Uncharacterized	NULL
CAGL0A00429g	ORF|Uncharacterized	NULL
CAGL0A00451g	ORF|Verified	NULL
CAGL0A00473g	ORF|Uncharacterized	NULL
CAGL0A00495g	ORF|Uncharacterized	NULL
CAGL0A00517g	ORF|Uncharacterized	NULL
CAGL0A00539g	ORF|Uncharacterized	NULL
CAGL0A00561g	ORF|Uncharacterized	NULL
CAGL0A00583g	ORF|Uncharacterized	NULL
CAGL0A00605g	ORF|Uncharacterized	NULL
CAGL0A00627g	ORF|Uncharacterized	NULL
CAGL0A00649g	ORF|Uncharacterized	NULL
CAGL0A00671r	tRNA|Uncharacterized	NULL
CAGL0A00715g	ORF|Uncharacterized	NULL
CAGL0A00737g	ORF|Uncharacterized	NULL
CAGL0A00759s	centromere	NULL
CAGL0A00781g	ORF|Uncharacterized	NULL
CAGL0A00803g	ORF|Uncharacterized	NULL
CAGL0A00825g	ORF|Uncharacterized	NULL
CAGL0A00847g	ORF|Uncharacterized	NULL
CAGL0A00869g	ORF|Verified	NULL
CAGL0A00891g	ORF|Uncharacterized	NULL
CAGL0A00913g	ORF|Uncharacterized	NULL
CAGL0A00935g	ORF|Uncharacterized	NULL
CAGL0A00957g	ORF|Uncharacterized	NULL
CAGL0A00979g	ORF|Uncharacterized	NULL
CAGL0A01001g	ORF|Uncharacterized	NULL
CAGL0A01023g	ORF|Uncharacterized	NULL
CAGL0A01045g	ORF|Uncharacterized	NULL
CAGL0A01067g	ORF|Uncharacterized	NULL
CAGL0A01089g	ORF|Uncharacterized	NULL
CAGL0A01111g	ORF|Uncharacterized	NULL
CAGL0A01133g	ORF|Uncharacterized	NULL
CAGL0A01155g	ORF|Uncharacterized	NULL
CAGL0A01177g	ORF|Uncharacterized	NULL
CAGL0A01193g	ORF|Uncharacterized	NULL
CAGL0A01199g	ORF|Uncharacterized	NULL
CAGL0A01221g	ORF|Uncharacterized	NULL
CAGL0A01243g	ORF|Uncharacterized	NULL
