locus_tag	GRYC_note
C1_00010W_A	Dubious open reading frame
C1_00020C_A	Protein of unknown function; transcript detected on high-resolution tiling arrays
C1_00030C_A	Protein of unknown function; transcript detected on high-resolution tiling arrays
C1_00040W_A	Putative transcription factor; Med2 mediator domain; activates transcription in 1-hybrid assay in S. cerevisiae; repressed by Efg1; member of a family of telomere-proximal genes; Tbf1-induced
C1_00050C_A	Ortholog of <i>Candida albicans WO-1</i> : CAWG_01361
C1_00060W_A	Phenotype:increased filamentous growth (null), viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null), increased chemical compound accumulation (null), decreased germ tube formation (null), viable (null)viable (null)viable (null)viable (null)viable (null), abnormal colony color (null), viable (null)viable (null)viable (null), decreased virulence (null), decreased ionic stress resistance (null), decreased metal resistance (null), decreased rate vegetative growth (null), decreased adhesion (null), viable (null), normal colony appearance (null), increased rate vegetative growth (null), abnormal cell wall morphology (null), increased pseudohyphal growth (null), viable (null)viable (null)viable (null)viable (null)viable (null)viable (null), viable (null)viable (null)viable (null)viable (null), increased heat sensitivity (null), increased invasive growth (null), decreased oxidative stress resistance (null), decreased resistance to chemicals (null), viable (null)viable (overexpression), absent phenotypic switching (null), viable (null)viable (null), increased RNA accumulation (null), abnormal mating response (null), absent virulence (null), abnormal interaction with host/environment (null), abnormal colony appearance (null), abnormal filamentous growth (null), normal cellular morphology (null), abnormal cell shape (null)
C1_00070W_A	Phenotype:absent virulence (repressible), viable (null)viable (null)
C1_00080C_A	Phenotype:decreased filamentous growth (null), decreased vegetative growth (null), increased resistance to chemicals (null), decreased rate vegetative growth (null), viable (null), increased invasive growth (null), decreased resistance to chemicals (null), abnormal colony appearance (null)
C1_00090W_A	Ortholog(s) have role in ascospore wall assembly and cytosol localization
C1_00100C_A	Phenotype:viable (null), decreased resistance to chemicals (null)
C1_00110W_A	Phenotype:viable (null)viable (null)inviable (null)viable (null), absent hyphal growth (null), viable (null)viable (null)inviable (null), inviable (repressible)viable (null), decreased resistance to chemicals (null), delayed germ tube formation (overexpression), inviable (repressible), absent germ tube formation (overexpression), viable (overexpression), normal hyphal growth (null), decreased invasive growth (null), absent hyphal growth (overexpression)
C1_00120C_A	Phenotype:viable (null)viable (null)viable (null), viable (null)viable (null)viable (null)auxotrophy (null)auxotrophy (null)viable (null), viable (null)viable (null), viable (null)viable (null)viable (null)auxotrophy (null)auxotrophy (null)viable (null)viable (null), viable (null)viable (null)viable (null)auxotrophy (null)auxotrophy (null), viable (null)viable (null)viable (null)auxotrophy (null)
C1_00130C_A	Phenotype:viable (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)viable (null)viable (null)
