Feature_name_mandatory	Aliases_multiples_separated_by_	Feature_type	Primary_CGDID	Secondary_CGDID_if_any	Date_Created	Sequence_Coordinate_Version_Date_if_any	Blank	Blank1	Date_of_gene_name_reservation_if_any	Has_the_reserved_gene_name_become_the_standard_name_YN	Name_of_S_cerevisiae_orthologs_multiples_separated_by_
C1_00010W_A	orf19.6115|C1_00010W_B|C1_00010W|orf19.13534|IPF21113.1|IPF27828.1|CaO19.11880|CaO19.4402|CaO19.6115|CaO19.13534	ORF|Dubious	CAL0000182519		2014-06-24	2014-06-24	NA	NA		N	
C1_00010W_B		ORF	CAL0000183273		2014-06-24	2014-06-24	NA	NA		N	
C1_00020C_A	CAWG_03102|orf19.6114|C1_00020C_B|C1_00020C|orf19.13533|IPF21135.1|IPF27840.1|orf6.6227|CaO19.13533|CaO19.6114	ORF|Uncharacterized	CAL0000184345		2014-06-24	2014-06-24	NA	NA		N	
C1_00020C_B		ORF	CAL0000189700		2014-06-24	2014-06-24	NA	NA		N	
C1_00030C_A	orf19.6113|C1_00030C_B|C1_00030C|orf19.13532|IPF21132.1|IPF10769.1|orf6.6228|CaO19.6113|CaO19.13532	ORF|Uncharacterized	CAL0000177679		2014-06-24	2014-06-24	NA	NA		N	
C1_00030C_B		ORF	CAL0000198282		2014-06-24	2014-06-24	NA	NA		N	
C1_00040W_A	CAWG_01362|orf19.6112|C1_00040W_B|C1_00040W|orf19.13531|IPF21081.1|IPF10779.1|orf6.6229|CA3851|CTA21|TLO3|CTA210|CaO19.6112|CaO19.13531	ORF|Verified	CAL0000191731		2014-06-24	2014-06-24	NA	NA		N	
C1_00040W_B		ORF	CAL0000179748		2014-06-24	2014-06-24	NA	NA		N	
C1_00050C_A	CAWG_01361|orf19.6110|C1_00050C_B|C1_00050C|orf19.13529|IPF21110.1|IPF10780.2|Contig4-1846_0001|orf6.6231|CaO19.13529|CaO19.6110	ORF|Dubious	CAL0000182943		2014-06-24	2014-06-24	NA	NA		N	
C1_00050C_B		ORF	CAL0000184718		2014-06-24	2014-06-24	NA	NA		N	
C1_00060W_A	CAWG_01360|orf19.6109|C1_00060W_B|C1_00060W|orf19.13528|IPF21053.1|IPF4657.2|orf6.6232|CA3852|CaO19.6109|CaO19.13528	ORF|Verified	CAL0000186393	CAL0006752	2014-06-24	2014-06-24	NA	NA		N	TUP1
C1_00060W_B		ORF	CAL0000199012		2014-06-24	2014-06-24	NA	NA		N	
C1_00070W_A	CAWG_01359|orf19.6105|C1_00070W_B|C1_00070W|orf19.13524|MVD1|IPF4647.2|IPF4652.1|Contig4-2342_0002|orf6.6236|CA3853|MVD1.3	ORF|Verified	CAL0000181620		2014-06-24	2014-06-24	NA	NA		N	MVD1
C1_00070W_B		ORF	CAL0000200794		2014-06-24	2014-06-24	NA	NA		N	
