Feature_name	Primary_SGDID	Feature_type	Feature_qualifier	Alias	Parent_feature_name	Secondary_SGDID	Genetic_position	Coordinate_version	Sequence_version	Description
YAL069W	S000002143	ORF	Dubious		chromosome 1		NA	1996-07-31	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL068W-A	S000028594	ORF	Dubious		chromosome 1		NA	2003-07-29	2003-07-29	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YAL068C	S000002142	ORF	Verified	seripauperin PAU8	chromosome 1		NA	1996-07-31	1996-07-31	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions
YAL067W-A	S000028593	ORF	Uncharacterized		chromosome 1		NA	2003-07-29	2003-07-29	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YAL067C	S000000062	ORF	Verified	putative permease SEO1	chromosome 1	L000003363	NA	2011-02-03	1996-07-31	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide
YAL066W	S000000061	ORF	Dubious		chromosome 1		NA	2011-02-03	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL065C	S000001817	ORF	Uncharacterized		chromosome 1		NA	2011-02-03	1996-07-31	Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins
YAL064W-B	S000002141	ORF	Uncharacterized		chromosome 1		NA	2011-02-03	1999-07-17	Fungal-specific protein of unknown function
YAL064C-A	S000002140	ORF	Uncharacterized	YAL065C-A	chromosome 1		NA	2011-02-03	1996-07-31	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene
YAL064W	S000000060	ORF	Verified		chromosome 1		NA	2011-02-03	1996-07-31|2011-02-03	Protein of unknown function; may interact with ribosomes, based on co-purification experiments
YAL063C-A	S000028813	ORF	Uncharacterized		chromosome 1		NA	2011-02-03	2003-07-29	Putative protein of unknown function; identified by expression profiling and mass spectrometry
YAL063C	S000000059	ORF	Verified	flocculin FLO9	chromosome 1	L000003331	NA	2011-02-03	1996-07-31	Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation
YAL062W	S000000058	ORF	Verified	glutamate dehydrogenase (NADP(+)) GDH3|FUN51	chromosome 1	L000000698	NA	2011-02-03	1996-07-31	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication
YAL061W	S000000057	ORF	Uncharacterized	putative dehydrogenase BDH2	chromosome 1		NA	2011-02-03	1996-07-31	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3
YAL060W	S000000056	ORF	Verified	(R,R)-butanediol dehydrogenase|BDH	chromosome 1		NA	2011-02-03	1996-07-31|2011-02-03	NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source
YAL059W	S000000055	ORF	Verified		chromosome 1	L000003052	NA	2011-02-03	1996-07-31|2011-02-03	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm
YAL059C-A	S000028734	ORF	Dubious		chromosome 1		NA	2011-02-03	2003-07-29|2011-02-03	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W
YAL058W	S000000054	ORF	Verified	calnexin|FUN48	chromosome 1	L000000373	NA	2011-02-03	1996-07-31	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast
YAL056C-A	S000002139	ORF	Dubious	YAL058C-A	chromosome 1		NA	2011-02-03	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL056W	S000000052	ORF	Verified	KRH1	chromosome 1		NA	2011-02-03	2004-01-20|1996-07-31|2011-02-03	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication
YAL055W	S000000051	ORF	Verified	ubiquitin-protein transferase activating protein PEX22|YAF5	chromosome 1		NA	2011-02-03	1996-07-31	Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation
YAL054C	S000000050	ORF	Verified	acetate--CoA ligase 1|FUN44	chromosome 1	L000000024	-63.11	2011-02-03	1996-07-31	Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions
YAL053W	S000000049	ORF	Verified	flavin adenine dinucleotide transporter FLC2|HUF2	chromosome 1		NA	2011-02-03	1996-07-31|2011-02-03	Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication
YAL051W	S000000048	ORF	Verified	oleate-activated transcription factor OAF1|YAF1	chromosome 1	L000004197	NA	2011-02-03	2004-07-20|1996-07-31|2011-02-03	Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication
YAL049C	S000000047	ORF	Verified	protein AIM2	chromosome 1		NA	2011-02-03	1996-07-31	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor
YAL047W-A	S000028733	ORF	Dubious		chromosome 1		NA	2011-02-03	2003-07-29	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GEM1/YAL048C
YAL048C	S000000046	ORF	Verified	ERMES complex Ca(2+)-binding regulatory GTPase GEM1|GON1	chromosome 1		NA	2011-02-03	1996-07-31	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases
YAL047C	S000000045	ORF	Verified	gamma-tubulin complex subunit SPC72|LDB4	chromosome 1	L000003455	NA	2011-02-03	1996-07-31|2011-02-03	Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase
YAL046C	S000000044	ORF	Verified	AIM1	chromosome 1		NA	2011-02-03	1996-07-31	Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)
YAL044W-A	S000007586	ORF	Verified		chromosome 1		NA	2011-02-03	2001-01-30	Mitochondrial matrix protein involved in Fe-S cluster biogenesis; facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase; interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis; forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters; sequence similarity to human BOLA family member, BOLA1 and S. pombe uvi31, a putative DNA repair protein
YAL045C	S000000043	ORF	Dubious		chromosome 1		NA	2011-02-03	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A
YAL044C	S000000042	ORF	Verified	glycine decarboxylase subunit H	chromosome 1	L000003501	NA	2011-02-03	2003-09-22|1996-07-31|2008-03-05	H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF
