Feature_name_mandatory	Aliases_multiples_separated_by_	Feature_type	Primary_CGDID	Secondary_CGDID_if_any	Date_Created	Sequence_Coordinate_Version_Date_if_any	Blank	Blank1	Date_of_gene_name_reservation_if_any	Has_the_reserved_gene_name_become_the_standard_name_YN	Name_of_S_cerevisiae_orthologs_multiples_separated_by_
CAGL0A00105g	CAGL0A00110g.1	ORF|Uncharacterized	CAL0000210339		2015-04-13	2015-04-13	NA	NA	NA	N	
CAGL0A00110g	CAGL-IPF16553|CAGL-IPF9521|CAGL0A00121g	pseudogene	CAL0126645		2010-10-20	2010-10-20	NA	NA	NA	N	
CAGL0A00116g	CAGL0A00110g.2	ORF|Uncharacterized	CAL0000209742		2015-04-13	2015-04-13	NA	NA	NA	N	
CAGL0A00132g	Novel_proteincoding2	ORF|Uncharacterized	CAL0000204452		2015-04-13	2015-04-13	NA	NA	NA	N	
CAGL0A00154g	Novel_proteincoding3	ORF|Uncharacterized	CAL0000211559		2015-04-13	2015-04-13	NA	NA	NA	N	
CAGL0A00165g	CAGL-IPF3306|CAGL-CDS3760.1|CAG57670.1	ORF|Uncharacterized	CAL0126541		2010-10-20	2010-10-20	NA	NA	NA	N	
CAGL0A00187g	CAGL-IPF3307|CAGL-CDS0920.1|CAG57671.1	ORF|Uncharacterized	CAL0126653		2010-10-20	2010-10-20	NA	NA	NA	N	PIB2
CAGL0A00209g	CAGL-IPF3308|CAGL-CDS1000.1|CAG57672.1	ORF|Uncharacterized	CAL0126795		2010-10-20	2010-10-20	NA	NA	NA	N	STT3
CAGL0A00231g	CAGL-IPF3311|CAGL-CDS0831.1|CAG57673.1	ORF|Uncharacterized	CAL0126647		2010-10-20	2010-10-20	NA	NA	NA	N	ALK1
CAGL0A00253g	CAGL-IPF3312|CAGL-CDS4223.1|CAG57674.1	ORF|Uncharacterized	CAL0126877		2010-10-20	2010-10-20	NA	NA	NA	N	GET1
CAGL0A00275g	CAGL-IPF3313|CAGL-CDS3855.1|CAG57675.1	ORF|Uncharacterized	CAL0126623		2010-10-20	2010-10-20	NA	NA	NA	N	CKB1
CAGL0A00297g	CAGL-IPF3314|CAGL-CDS4457.1|CAG57676.1	ORF|Uncharacterized	CAL0126591		2010-10-20	2010-10-20	NA	NA	NA	N	JAC1
