Feature name (optional)	Standard gene name (optional)	Chromosome (optional)	Start_coordinate (optional)	Stop_coordinate (optional)	Strand (optional)	Description (optional)	rep("Saccharomyces cerevisiae", nrow(inter))	paste0("https://www.yeastgenome.org/locus/", annotations_SC[,
YAL069W		1	335	649	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000002143
YAL068W-A		1	538	792	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028594
YAL068C	PAU8	1	2169	1807	C	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000002142
YAL067W-A		1	2480	2707	W	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028593
YAL067C	SEO1	1	9016	7235	C	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000062
YAL066W		1	10091	10399	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000061
YAL065C		1	11951	11565	C	Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000001817
YAL064W-B		1	12046	12426	W	Fungal-specific protein of unknown function	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000002141
YAL064C-A	TDA8	1	13743	13363	C	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000002140
YAL064W		1	21566	21850	W	Protein of unknown function; may interact with ribosomes, based on co-purification experiments	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000060
YAL063C-A		1	22685	22395	C	Putative protein of unknown function; identified by expression profiling and mass spectrometry	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028813
YAL063C	FLO9	1	27968	24000	C	Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000059
YAL062W	GDH3	1	31567	32940	W	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000058
YAL061W	BDH2	1	33448	34701	W	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000057
YAL060W	BDH1	1	35155	36303	W	NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000056
