Feature name (mandatory)	Gene name (locus name)	Chromosome	Start Coordinate	Stop Coordinate	Strand	Description	rep("Candida glabrata", nrow(inter))	paste0("http://www.candidagenome.org/cgi-bin/locus.pl?dbid=", 
C1_00010W_A		Ca22chr1A_C_albicans_SC5314	4059	4397	W	Dubious open reading frame	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000182519
C1_00010W_B		Ca22chr1B_C_albicans_SC5314	4059	4397	W	Dubious open reading frame	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000183273
C1_00020C_A		Ca22chr1A_C_albicans_SC5314	4720	4409	C	Protein of unknown function; transcript detected on high-resolution tiling arrays	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000184345
C1_00020C_B		Ca22chr1B_C_albicans_SC5314	4720	4409	C	Protein of unknown function; transcript detected on high-resolution tiling arrays	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000189700
C1_00030C_A		Ca22chr1A_C_albicans_SC5314	8908	8597	C	Protein of unknown function; transcript detected on high-resolution tiling arrays	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000177679
C1_00030C_B		Ca22chr1B_C_albicans_SC5314	8908	8597	C	Protein of unknown function; transcript detected on high-resolution tiling arrays	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000198282
C1_00040W_A	CTA2	Ca22chr1A_C_albicans_SC5314	10718	11485	W	Putative transcription factor; Med2 mediator domain; activates transcription in 1-hybrid assay in S. cerevisiae; repressed by Efg1; member of a family of telomere-proximal genes; Tbf1-induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000191731
C1_00040W_B	CTA2	Ca22chr1B_C_albicans_SC5314	10718	11485	W	Putative transcription factor; Med2 mediator domain; activates transcription in 1-hybrid assay in S. cerevisiae; repressed by Efg1; member of a family of telomere-proximal genes; Tbf1-induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000179748
C1_00050C_A		Ca22chr1A_C_albicans_SC5314	11995	11648	C	Ortholog of Candida albicans WO-1 : CAWG_01361	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000182943
C1_00050C_B		Ca22chr1B_C_albicans_SC5314	11995	11648	C	Ortholog of Candida albicans WO-1 : CAWG_01361	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000184718
C1_00060W_A	TUP1	Ca22chr1A_C_albicans_SC5314	12163	13701	W	Transcriptional corepressor; represses filamentous growth; regulates switching; role in germ tube induction, farnesol response; in repression pathways with Nrg1, Rfg1; farnesol upregulated in biofilm; rat catheter, Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000186393
C1_00060W_B	TUP1	Ca22chr1B_C_albicans_SC5314	12163	13701	W	Transcriptional corepressor; represses filamentous growth; regulates switching; role in germ tube induction, farnesol response; in repression pathways with Nrg1, Rfg1; farnesol upregulated in biofilm; rat catheter, Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000199012
C1_00070W_A	MVD	Ca22chr1A_C_albicans_SC5314	13778	14917	W	Mevalonate diphosphate decarboxylase; functional homolog of S. cerevisiae Erg19; possible drug target; regulated by carbon source, yeast-hypha switch, growth phase, antifungals; gene has intron; rat catheter, Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000181620
C1_00070W_B	MVD	Ca22chr1B_C_albicans_SC5314	13778	14917	W	Mevalonate diphosphate decarboxylase; functional homolog of S. cerevisiae Erg19; possible drug target; regulated by carbon source, yeast-hypha switch, growth phase, antifungals; gene has intron; rat catheter, Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000200794
C1_00080C_A	RCA1	Ca22chr1A_C_albicans_SC5314	15761	14910	C	Protein involved in regulation of carbonic anhydrases; controls CO2 sensing; bZIP domain-containing transcription factor of the ATF/CREB family; null mutant displays slow growth, abnormal colony morphology and invasive growth	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000191329
C1_00080C_B	RCA1	Ca22chr1B_C_albicans_SC5314	15761	14910	C	Protein involved in regulation of carbonic anhydrases; controls CO2 sensing; bZIP domain-containing transcription factor of the ATF/CREB family; null mutant displays slow growth, abnormal colony morphology and invasive growth	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000196476
C1_00090W_A		Ca22chr1A_C_albicans_SC5314	15595	16116	W	Ortholog(s) have role in ascospore wall assembly, ascospore-type prospore membrane assembly and cytosol, prospore membrane localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000185968
C1_00090W_B		Ca22chr1B_C_albicans_SC5314	15595	16116	W	Ortholog(s) have role in ascospore wall assembly, ascospore-type prospore membrane assembly and cytosol, prospore membrane localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000196776
C1_00100C_A		Ca22chr1A_C_albicans_SC5314	17328	16600	C	Cardiolipin synthase; ortholog of S. cerevisiae Crd1; transcript is upregulated in clinical isolates from HIV+ patients with oral candidiasis; mutants are viable; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000197186
C1_00100C_B		Ca22chr1B_C_albicans_SC5314	17328	16600	C	Cardiolipin synthase; ortholog of S. cerevisiae Crd1; transcript is upregulated in clinical isolates from HIV+ patients with oral candidiasis; mutants are viable; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000185127
C1_00110W_A	CCT8	Ca22chr1A_C_albicans_SC5314	17338	18960	W	Chaperonin-containing T-complex subunit; role in hyphal morphogenesis, particularly starvation-induced; essential; expression in S. cerevisiae inhibits Ras2-mediated pathways; CCT8 and TRP1 overlap; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000175759
C1_00110W_B	CCT8	Ca22chr1B_C_albicans_SC5314	17338	18960	W	Chaperonin-containing T-complex subunit; role in hyphal morphogenesis, particularly starvation-induced; essential; expression in S. cerevisiae inhibits Ras2-mediated pathways; CCT8 and TRP1 overlap; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000184935
C1_00120C_A	TRP1	Ca22chr1A_C_albicans_SC5314	19628	18948	C	Phosphoribosylanthranilate isomerase; tryptophan biosynthesis; expected unifunctional, unlike trifunctional enzyme of some other fungi; complements E. coli trpC, S. cerevisiae trp1 mutant; CCT1 and TRP1 overlap; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000186853
C1_00120C_B	TRP1	Ca22chr1B_C_albicans_SC5314	19628	18948	C	Phosphoribosylanthranilate isomerase; tryptophan biosynthesis; expected unifunctional, unlike trifunctional enzyme of some other fungi; complements E. coli trpC, S. cerevisiae trp1 mutant; CCT1 and TRP1 overlap; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000198878
C1_00130C_A	VPS53	Ca22chr1A_C_albicans_SC5314	21714	19615	C	Ortholog(s) have role in Golgi to vacuole transport, cellular sphingolipid homeostasis, retrograde transport, endosome to Golgi and GARP complex localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000194290
C1_00130C_B	VPS53	Ca22chr1B_C_albicans_SC5314	21714	19615	C	Ortholog(s) have role in Golgi to vacuole transport, cellular sphingolipid homeostasis, retrograde transport, endosome to Golgi and GARP complex localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000186986
C1_00140W_A	KEL1	Ca22chr1A_C_albicans_SC5314	22270	25326	W	Kelch repeat domain-containing protein; localizes to sites of polarized growth; mutant colonies exhibit slightly decreased filamentation ratio; not required for buccal epithelial cell adherence or virulence in mice	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000190815
C1_00140W_B	KEL1	Ca22chr1B_C_albicans_SC5314	22270	25326	W	Kelch repeat domain-containing protein; localizes to sites of polarized growth; mutant colonies exhibit slightly decreased filamentation ratio; not required for buccal epithelial cell adherence or virulence in mice	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000198276
C1_00150C_A	RIM8	Ca22chr1A_C_albicans_SC5314	27249	25381	C	Beta-arrestin-like protein; involved in pH response; required for pathogenesis, activation of Rim101 and alkaline pH-induced hyphal growth; colony morphology-related gene regulation by Ssn6p negative feedback regulation target	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000197201
C1_00150C_B	RIM8	Ca22chr1B_C_albicans_SC5314	27249	25381	C	Beta-arrestin-like protein; involved in pH response; required for pathogenesis, activation of Rim101 and alkaline pH-induced hyphal growth; colony morphology-related gene regulation by Ssn6p negative feedback regulation target	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000181532
C1_00160C_A		Ca22chr1A_C_albicans_SC5314	29488	28286	C	Putative nucleolar protein with a predicted role in pre-rRNA processing and ribosome biogenesis; repressed by nitric oxide; required for flow model biofilm formation; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000200313
C1_00160C_B		Ca22chr1B_C_albicans_SC5314	29488	28286	C	Putative nucleolar protein with a predicted role in pre-rRNA processing and ribosome biogenesis; repressed by nitric oxide; required for flow model biofilm formation; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000184518
C1_00170W_A	LEU4	Ca22chr1A_C_albicans_SC5314	29804	31543	W	Putative 2-isopropylmalate synthase; regulated by Nrg1, Mig1, Tup1, Gcn4; induced by human whole blood or PMNs; macrophage/pseudohyphal-repressed after 16h; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000186267
C1_00170W_B	LEU4	Ca22chr1B_C_albicans_SC5314	29804	31543	W	Putative 2-isopropylmalate synthase; regulated by Nrg1, Mig1, Tup1, Gcn4; induced by human whole blood or PMNs; macrophage/pseudohyphal-repressed after 16h; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000199608
C1_00180W_A	RPL16A	Ca22chr1A_C_albicans_SC5314	31842	32444	W	Ribosomal protein; transposon mutation affects filamentous growth; repressed upon phagocytosis by murine macrophages; Hap43-induced; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000175593
C1_00180W_B	RPL16A	Ca22chr1B_C_albicans_SC5314	31842	32444	W	Ribosomal protein; transposon mutation affects filamentous growth; repressed upon phagocytosis by murine macrophages; Hap43-induced; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000181017
C1_00190C_A		Ca22chr1A_C_albicans_SC5314	33318	32680	C	Protein of unknown function; flow model biofilm induced; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000186780
C1_00190C_B		Ca22chr1B_C_albicans_SC5314	33318	32680	C	Protein of unknown function; flow model biofilm induced; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000199014
C1_00200C_A		Ca22chr1A_C_albicans_SC5314	34446	34099	C	Has domain(s) with predicted nucleic acid binding, nucleotide binding activity	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000183783
C1_00200C_B		Ca22chr1B_C_albicans_SC5314	34446	34099	C	Has domain(s) with predicted nucleic acid binding, nucleotide binding activity	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000192643
C1_00210C_A		Ca22chr1A_C_albicans_SC5314	35679	34525	C	Ortholog(s) have unfolded protein binding activity, role in protein folding, protein localization to cell surface and integral component of endoplasmic reticulum membrane localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000182274
C1_00210C_B		Ca22chr1B_C_albicans_SC5314	35679	34525	C	Ortholog(s) have unfolded protein binding activity, role in protein folding, protein localization to cell surface and integral component of endoplasmic reticulum membrane localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000196572
C1_00220W_A	PHR2	Ca22chr1A_C_albicans_SC5314	37851	39485	W	Glycosidase; role in vaginal not systemic infection (low pH not neutral); low pH, high iron, fluconazole, Hap43-induced; Rim101-repressed at pH8; rat catheter biofilm induced; Bcr1-repressed in RPMI a/a biofilms	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000181783
C1_00220W_B	PHR2	Ca22chr1B_C_albicans_SC5314	37852	39486	W	Glycosidase; role in vaginal not systemic infection (low pH not neutral); low pH, high iron, fluconazole, Hap43-induced; Rim101-repressed at pH8; rat catheter biofilm induced; Bcr1-repressed in RPMI a/a biofilms	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000185257
C1_00230C_A	BFA1	Ca22chr1A_C_albicans_SC5314	41770	40484	C	Ortholog(s) have GDP-dissociation inhibitor activity, GTPase activator activity, role in mitotic spindle orientation checkpoint and Bfa1-Bub2 complex localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000186201
C1_00230C_B	BFA1	Ca22chr1B_C_albicans_SC5314	41771	40485	C	Ortholog(s) have GDP-dissociation inhibitor activity, GTPase activator activity, role in mitotic spindle orientation checkpoint and Bfa1-Bub2 complex localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000174075
C1_00240C_A	tT(AGU)6	Ca22chr1A_C_albicans_SC5314	42172	42100	C	tRNA-Thr, predicted by tRNAscan-SE; AGU anticodon	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000188836
C1_00240C_B	tT(AGU)6	Ca22chr1B_C_albicans_SC5314	42173	42101	C	tRNA-Thr, predicted by tRNAscan-SE; AGU anticodon	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000184927
C1_00250W_A		Ca22chr1A_C_albicans_SC5314	42185	46165	W	Retrotransposon Tca8 on Chromosome 1, about 4 kbp member of the gypsy group with two partial ORFs similar to gag and pol, flanked by 395-bp LTRs (beta elements)	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000198726
C1_00250W_B		Ca22chr1B_C_albicans_SC5314	42186	46168	W	Retrotransposon Tca8 on Chromosome 1, about 4 kbp member of the gypsy group with two partial ORFs similar to gag and pol, flanked by 395-bp LTRs (beta elements)	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000185709
C1_00260W_A		Ca22chr1A_C_albicans_SC5314	42185	42535	W	Long terminal repeat (LTR) associated with the transposon Tca8; about 395 bp long, 6-8 copies per genome	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000174218
C1_00260W_B		Ca22chr1B_C_albicans_SC5314	42186	42536	W	Long terminal repeat (LTR) associated with the transposon Tca8; about 395 bp long, 6-8 copies per genome	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000185695
C1_00270W_A		Ca22chr1A_C_albicans_SC5314	42605	43504	W	Predicted ORF in retrotransposon Tca8 with similarity to the Gag region encoding nucleocapsid-like protein; repressed by ciclopirox olamine; filament induced; regulated by Rfg1, Tup1; overlaps orf19.6078.1	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000188751
C1_00270W_B		Ca22chr1B_C_albicans_SC5314	42606	43505	W	Predicted ORF in retrotransposon Tca8 with similarity to the Gag region encoding nucleocapsid-like protein; repressed by ciclopirox olamine; filament induced; regulated by Rfg1, Tup1; overlaps orf19.6078.1	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000184945
C1_00280C_A	RFC52	Ca22chr1A_C_albicans_SC5314	43679	43549	C	Putative replication factor C complex protein; periodic mRNA expression, peak at cell-cycle G1/S phase; overlaps orf19.6079	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000194446
C1_00280C_B	RFC52	Ca22chr1B_C_albicans_SC5314	43680	43550	C	Putative replication factor C complex protein; periodic mRNA expression, peak at cell-cycle G1/S phase; overlaps orf19.6079	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000174992
C1_00290W_A	POL93	Ca22chr1A_C_albicans_SC5314	43803	45764	W	Predicted ORF in retrotransposon Tca8 with similarity to the Pol region of retrotransposons encoding reverse transcriptase, protease and integrase; downregulated in response to ciclopirox olamine; F-12/CO2 early biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000175689
C1_00290W_B	POL93	Ca22chr1B_C_albicans_SC5314	43804	45766	W	Predicted ORF in retrotransposon Tca8 with similarity to the Pol region of retrotransposons encoding reverse transcriptase, protease and integrase; downregulated in response to ciclopirox olamine; F-12/CO2 early biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000199001
C1_00300W_A		Ca22chr1A_C_albicans_SC5314	45878	46165	W	Long terminal repeat (LTR) associated with the transposon Tca8; about 395 bp long, 6-8 copies per genome	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000189256
C1_00300W_B		Ca22chr1B_C_albicans_SC5314	45880	46168	W	Long terminal repeat (LTR) associated with the transposon Tca8; about 395 bp long, 6-8 copies per genome	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000175610
C1_00310W_A		Ca22chr1A_C_albicans_SC5314	46803	48359	W	Putative protein of unknown function; shows colony morphology-related gene regulation by Ssn6p	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000201857
C1_00310W_B		Ca22chr1B_C_albicans_SC5314	46806	48362	W	Putative protein of unknown function; shows colony morphology-related gene regulation by Ssn6p	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000193521
C1_00320W_A		Ca22chr1A_C_albicans_SC5314	48513	49298	W	Ortholog(s) have protein transporter activity, role in intracellular protein transport, retrograde transport, endosome to Golgi and endosome, retromer, cargo-selective complex localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000193936
C1_00320W_B		Ca22chr1B_C_albicans_SC5314	48516	49301	W	Ortholog(s) have protein transporter activity, role in intracellular protein transport, retrograde transport, endosome to Golgi and endosome, retromer, cargo-selective complex localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000176667
C1_00330C_A		Ca22chr1A_C_albicans_SC5314	49843	49295	C	Putative CCR4-Not complex transcription factor; ortholog of S. cerevisiae Cdc36; Hap43-repressed gene	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000200147
C1_00330C_B		Ca22chr1B_C_albicans_SC5314	49846	49298	C	Putative CCR4-Not complex transcription factor; ortholog of S. cerevisiae Cdc36; Hap43-repressed gene	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000187504
C1_00340W_A	HBR1	Ca22chr1A_C_albicans_SC5314	49997	50743	W	Essential protein involved in regulation of MTL gene expression; hemoglobin-regulated inhibitor of white-opaque switching, may affect survival in host; activator of MTLalpha1 and MTLalpha2; transcript activated by hemoglobin	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000197369
C1_00340W_B	HBR1	Ca22chr1B_C_albicans_SC5314	50000	50746	W	Essential protein involved in regulation of MTL gene expression; hemoglobin-regulated inhibitor of white-opaque switching, may affect survival in host; activator of MTLalpha1 and MTLalpha2; transcript activated by hemoglobin	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000181229
C1_00350C_A	HMX1	Ca22chr1A_C_albicans_SC5314	51681	50806	C	Heme oxygenase; utilization of hemin iron; transcript induced by heat, low iron, or hemin; repressed by Efg1; induced by low iron; upregulated by Rim101 at pH 8; Hap43-induced; Spider and flow model biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000188588
C1_00350C_B	HMX1	Ca22chr1B_C_albicans_SC5314	51684	50809	C	Heme oxygenase; utilization of hemin iron; transcript induced by heat, low iron, or hemin; repressed by Efg1; induced by low iron; upregulated by Rim101 at pH 8; Hap43-induced; Spider and flow model biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000179157
C1_00360W_A	CDC13	Ca22chr1A_C_albicans_SC5314	53099	54442	W	Essential protein with similarity to S. cerevisiae Cdc13p, involved in telomere maintenance	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000201142
C1_00360W_B	CDC13	Ca22chr1B_C_albicans_SC5314	53102	54445	W	Essential protein with similarity to S. cerevisiae Cdc13p, involved in telomere maintenance	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000174709
C1_00370W_A		Ca22chr1A_C_albicans_SC5314	54558	54842	W	Protein of unknown function	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000183986
C1_00370W_B		Ca22chr1B_C_albicans_SC5314	54561	54845	W	Protein of unknown function	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000200975
C1_00380C_A	NAA25	Ca22chr1A_C_albicans_SC5314	57074	54837	C	Ortholog(s) have peptide alpha-N-acetyltransferase activity and role in N-terminal peptidyl-methionine acetylation, cytoskeleton organization, mitochondrion inheritance, regulation of actin cytoskeleton organization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000175749
C1_00380C_B	NAA25	Ca22chr1B_C_albicans_SC5314	57077	54840	C	Ortholog(s) have peptide alpha-N-acetyltransferase activity and role in N-terminal peptidyl-methionine acetylation, cytoskeleton organization, mitochondrion inheritance, regulation of actin cytoskeleton organization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000199967
C1_00390W_A	ENA2	Ca22chr1A_C_albicans_SC5314	59349	62552	W	Putative sodium transporter; induced by ciclopirox olamine; alkaline induced by Rim101; repressed by high-level peroxide stress; induced in oral candidiasis clinical isolates; possibly essential gene; rat catheter and Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000188030
C1_00390W_B	ENA2	Ca22chr1B_C_albicans_SC5314	59352	62555	W	Putative sodium transporter; induced by ciclopirox olamine; alkaline induced by Rim101; repressed by high-level peroxide stress; induced in oral candidiasis clinical isolates; possibly essential gene; rat catheter and Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000175543
C1_00400W_A	SVF1	Ca22chr1A_C_albicans_SC5314	63202	64350	W	Putative survival factor; stationary phase enriched protein; fluconazole-induced; regulated by Gcn4p; repressed in response to amino acid starvation (3-AT treatment); fungal-specific (no human or murine homolog)	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000182395
C1_00400W_B	SVF1	Ca22chr1B_C_albicans_SC5314	63205	64353	W	Putative survival factor; stationary phase enriched protein; fluconazole-induced; regulated by Gcn4p; repressed in response to amino acid starvation (3-AT treatment); fungal-specific (no human or murine homolog)	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000197081
C1_00410C_A		Ca22chr1A_C_albicans_SC5314	66324	64696	C	Hexadecenal dehydrogenase; involved in the conversion of sphingosine 1-phosphate breakdown product hexadecenal to hexadecenoic acid; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000181570
